"id";"supplier"
2;"AÇO IDEAL"
5;"ALTEVIR"
6;"ARCIE E SIQUEIRA"
7;"ART LETREIROS"
8;"AUTO PEÇAS MERIDIONAL"
9;"BAUER EXPRESS"
10;"BAVARIA AUTOPEÇAS"
11;"BERENICE"
12;"BODIPASA"
13;"BORGES SOLUÇÕES"
14;"BRASLIFT"
15;"C.O MUELLER"
16;"CARLOS ZAMARCHI"
17;"CASA DO COMPRESSOR"
18;"CASA DO REFRATÁRIO"
19;"CASA DOS BEBEDOUROS"
20;"CONSTRUTORA CIVIL JC"
21;"COPEL"
22;"CORADIN"
23;"COSTACURTA"
24;"CURIPEÇAS"
25;"DAMISEG"
26;"DANIELE CRISTIANE"
27;"DIEGO HELICON"
28;"DIGITAL IMAGE"
29;"DIMOTOR"
30;"DINAMIC"
31;"DINÂMICA"
32;"DURACORTE"
33;"EAGLE EXPORTS"
34;"ELCIO LUIZ"
35;"ELETROMAR"
36;"ELETRORASTRO"
37;"ELETROVALMAK"
38;"ELITRONICOS"
39;"ELIVELTO AMARAL"
40;"EMBALAGENS RIO VERDE"
41;"ENGEPEÇAS"
42;"ESTEVÃO CRISTIANO"
43;"EXATA AMBIENTAL"
44;"FABO BOMBAS"
45;"FILTROSUL"
46;"FLORESTAL GESTÃO"
47;"FRIGELAR"
48;"GARAGEM AUTOCENTER"
49;"GARAGEM CENTRO AUTOMOTIVO"
50;"GILSON JOSÉ"
51;"GRAELS"
52;"GUEDES RIBEIRO"
53;"GUINCHO TOCHA"
54;"H&L"
55;"HELIO JOSÉ"
56;"HELLEN RIBEIRO"
57;"IMPORCATE"
58;"INFLORSEG"
59;"INPRELL"
60;"ITIPACK"
61;"J.J CANANI"
62;"JAIRINHO CASA DA RESIST."
63;"JANISKI"
64;"JETA"
65;"JG"
66;"JR"
67;"JRF TRANSPORTES"
68;"KABUM"
69;"L.A POLLI"
70;"L.B DOLINSKI"
71;"LEANDRO TAVARES"
72;"LEONIL PAULO"
73;"LIMPRIL"
74;"LUCIANA APARECIDA"
75;"LUCIANO DO VALLE"
76;"MACROMAQ"
77;"MADEIREIRA JONAS"
78;"MARCELO LUIZ"
79;"MARIO COUTINHO"
80;"MARLENE APARECIDA"
81;"MARLI SOUZA"
82;"MARRARI"
83;"MATERIAIS STRAUB"
84;"MAX ATACADISTA"
85;"MAXIMA EQUIPAMENTOS"
86;"MELO AUTOMAÇÕES"
87;"MERCADO UNIÃO"
88;"MG FERRAMENTAS"
89;"MGR MADEIRAS"
90;"MILL"
91;"MJ"
92;"MONTE CLARO"
93;"MSC INDUSTRIAL"
94;"MUFFATO"
95;"MUNIDIAL COMERCIAL"
96;"NAC LUBRIFICANTES"
97;"NAC NACIONAL"
98;"NACOMAQ"
99;"NBC ENGRENAGENS"
100;"NELSON DA SILVA"
101;"NINO AUTO PEÇAS"
102;"OLB COMERCIO DE TINTAS"
103;"PAG COMERCIO"
104;"PARANÁ EQUIP."
105;"PICHAU"
106;"PORTAL MOTORES"
107;"POSTO STRAUB"
108;"PRMAQ"
109;"PROVERADIO"
110;"QUALITY"
111;"RDNX"
112;"REDE GERAL FIXADORES"
113;"RENI UNO"
114;"REPECOL"
115;"RESTAURANTE SÃO LUCAS"
116;"RETITRUCK RETIFICA"
117;"RETROPAR"
118;"REVIPAN"
119;"REYMASTER"
120;"RODOLOG"
121;"ROGERIO DA COSTA"
122;"ROGÉRIO RIETH"
123;"SANDRO RODRIGO"
124;"SÃO FRANCISCO"
125;"SHEILA BARROSO"
126;"SIDIVAL"
127;"SODIVEL"
128;"SOLLUS"
129;"SOUL SUSTENTAVEL"
130;"STOCK MX"
131;"STRABOR COMERCIO"
132;"STRAPNEUS"
133;"SUIÇA EMBALAGENS"
134;"SUPRA"
135;"TAKI MOTORES"
136;"TECNOUSI"
137;"TECNOVAPOR"
138;"TERABYTE"
139;"TMC"
140;"TORNEARIA DM"
141;"TORNEARIA VIGAL"
142;"TOYOTA"
143;"TRANS TR PIETRA"
144;"TRANSPORTADORA CORTESIA LTDA"
145;"TRATORAÇO"
146;"TRATORVAL"
147;"TSR SOLDAS"
148;"TUNAS BORRACHARIA"
149;"TUNAS MOTOBOY"
150;"TUNAS TECH"
151;"TUNAS TUR"
152;"TUNASFARMA"
153;"VALE CENTER"
154;"VALE TRANSPORTES"
155;"VBS MADEIRAS"
156;"VEDAPAR"
157;"VESCOVI"
158;"WF FLORESTAL"
159;"WIN LIDER EXTINTORES"
160;"WISE PROTEC"
