ID;NOTA;DATA;FORNECEDOR;VALOR
1;40814;03/01/2023;PORTAL MOTORES;R$ 1.708,50
2;11021;02/01/2023;SOLLUS;R$ 372,90
3;3691;03/01/2023;MATERIAIS STRAUB;R$ 171,95
4;430;02/01/2023;TUNAS MOTOBOY;R$ 625,00
5;133;02/01/2023;SIDIVAL;R$ 724,50
6;2822;02/01/2023;EXATA AMBIENTAL;R$ 2.500,00
7;192;04/01/2023;ELCIO LUIZ;R$ 469,40
8;49;05/01/2023;TUNAS TUR;R$ 1.800,00
9;18722;04/01/2023;STRAPNEUS;R$ 328,00
10;216;05/01/2023;TUNAS BORRACHARIA;R$ 285,00
11;1355;05/01/2023;POSTO STRAUB;R$ 10.504,96
12;1356;05/01/2023;POSTO STRAUB;R$ 28.990,11
13;60;06/01/2023;BERENICE;R$ 50.500,00
14;1189;05/01/2023;DURACORTE;R$ 510,00
15;1469;05/01/2023;RETROPAR;R$ 971,35
16;425;05/01/2023;TECNOUSI;R$ 1.390,00
17;39692;03/01/2023;JETA;R$ 17.463,00
18;18744;05/01/2023;STRAPNEUS;R$ 2.000,00
19;200501;09/01/2023;JR;R$ 581,00
20;15485;10/01/2023;QUALITY;R$ 1.677,50
21;911;10/01/2023;INFLORSEG;R$ 1.000,00
22;912;10/01/2023;INFLORSEG;R$ 235,15
23;38546;10/01/2023;ITIPACK;R$ 3.705,37
24;2128;11/01/2023;H&L;R$ 3.400,00
25;18807;11/01/2023;STRAPNEUS;R$ 2.876,00
26;33655;12/01/2023;NACOMAQ;R$ 1.240,00
27;1195;12/01/2023;DURACORTE;R$ 505,00
28;628954;12/01/2023;REYMASTER;R$ 127,72
29;628945;12/01/2023;REYMASTER;R$ 334,22
30;628935;12/01/2023;REYMASTER;R$ 566,88
31;33666;12/01/2023;NACOMAQ;R$ 450,00
32;7676;12/01/2023;L.B DOLINSKI;R$ 1.218,00
33;27755;12/01/2023;MARRARI;R$ 500,00
34;27756;12/01/2023;MARRARI;R$ 1.298,57
35;7805;13/01/2023;CORADIN;R$ 138,50
36;33717;17/01/2023;NACOMAQ;R$ 522,00
37;2025;17/01/2023;SHEILA BARROSO;R$ 45,00
38;203;17/01/2023;WISE PROTEC;R$ 1.155,70
39;48898;18/01/2023;JG;R$ 310,00
40;7144;18/01/2023;MJ;R$ 36,00
41;1200;19/01/2023;DURACORTE;R$ 1.016,00
42;1909;11/01/2023;MUNIDIAL COMERCIAL;R$ 4.753,38
43;201105;18/01/2023;JR;R$ 1.333,00
44;18891;19/01/2023;STRAPNEUS;R$ 670,00
45;15218;19/01/2023;CASA DO REFRATÁRIO;R$ 1.185,00
46;614;19/01/2023;ROGERIO DA COSTA;R$ 1.820,50
47;153;09/01/2023;MSC INDUSTRIAL;R$ 325,00
48;2141;23/01/2023;H&L;R$ 3.400,00
49;515;23/01/2023;HELLEN RIBEIRO;R$ 18,99
50;7836;23/01/2023;CORADIN;R$ 2.783,00
51;3312696;11/01/2023;PICHAU;R$ 799,80
52;7863;25/01/2023;CORADIN;R$ 473,00
53;209;26/01/2023;WISE PROTEC;R$ 217,50
54;30466;26/01/2023;DINÂMICA;R$ 177,43
55;1204;26/01/2023;DURACORTE;R$ 655,00
56;28226;26/01/2023;IMPORCATE;R$ 165,00
57;157;26/01/2023;TORNEARIA VIGAL;R$ 2.600,00
58;54291;26/01/2023;INPRELL;R$ 757,43
59;632;27/01/2023;MARCELO LUIZ;R$ 2.200,00
60;20402470;27/01/2023;COPEL;R$ 27.543,77
61;7412;28/01/2023;ESTEVÃO CRISTIANO;R$ 545,00
62;317;26/01/2023;LUCIANA APARECIDA;R$ 3.000,00
63;2150;30/01/2023;H&L;R$ 3.400,00
66;2154;30/01/2023;H&L;R$ 3.400,00
67;1134284;25/01/2023;LUCIANO DO VALLE;R$ 232.222,22
68;136;31/01/2023;SIDIVAL;R$ 1.764,00
69;3396;31/01/2023;ELETROMAR;R$ 786,00
70;5819;01/02/2023;MILL;R$ 1.140,00
71;1004;31/01/2023;ELETROMAR;R$ 280,00
72;5818;01/02/2023;MILL;R$ 12.851,95
73;2865;01/02/2023;EXATA AMBIENTAL;R$ 2.500,00
74;2158;01/02/2023;H&L;R$ 3.400,00
75;2159;01/02/2023;H&L;R$ 3.400,00
76;1432;02/02/2023;POSTO STRAUB;R$ 8.042,68
77;3750;01/02/2023;MATERIAIS STRAUB;R$ 1.221,20
78;1444;02/02/2023;POSTO STRAUB;R$ 33.108,99
79;393849;02/02/2023;NAC LUBRIFICANTES;R$ 899,90
80;4;02/02/2023;VALE CENTER;R$ 491,95
81;39087;03/02/2023;ITIPACK;R$ 4.705,68
82;659054;03/02/2023;ELETRORASTRO;R$ 2.999,36
83;17;02/02/2023;ELIVELTO AMARAL;R$ 21.394,63
84;7721;03/02/2023;L.B DOLINSKI;R$ 1.340,00
85;1442;02/02/2023;POSTO STRAUB;R$ 6.327,79
86;51;03/02/2023;TUNAS TUR;R$ 4.950,00
87;926;06/02/2023;INFLORSEG;R$ 1.000,00
88;927;06/02/2023;INFLORSEG;R$ 621,00
89;30661;07/02/2023;DINÂMICA;R$ 1.574,77
90;9568;07/02/2023;VESCOVI;R$ 403,00
91;46582;07/02/2023;C.O MUELLER;R$ 2.852,00
92;39155;07/02/2023;ITIPACK;R$ 439,00
93;25596;07/02/2023;TRATORVAL;R$ 30,50
